,carat,cut,clarity,depth,table,x,y,z,price,color
0,0.3,5,3,62.1,58.0,4.27,4.29,2.66,499,6
1,0.33,4,8,60.8,58.0,4.42,4.46,2.7,984,4
2,0.9,3,6,62.2,60.0,6.04,6.12,3.78,6289,6
3,0.42,5,5,61.6,56.0,4.82,4.8,2.96,1082,5
4,0.31,5,7,60.4,59.0,4.35,4.43,2.65,779,5
5,1.02,5,4,61.5,56.0,6.46,6.49,3.99,9502,7
6,1.01,2,3,63.7,60.0,6.35,6.3,4.03,4836,3
7,0.5,4,3,61.5,62.0,5.09,5.06,3.12,1415,6
8,1.21,2,3,63.8,64.0,6.72,6.63,4.26,5407,3
9,0.35,5,4,60.5,57.0,4.52,4.6,2.76,706,5
10,0.32,5,4,61.6,56.0,4.4,4.43,2.72,637,6
11,1.1,4,3,60.7,55.0,6.74,6.71,4.08,6468,7
12,0.5,2,5,61.1,58.2,5.08,5.12,3.11,1932,6
13,0.71,5,2,61.6,55.0,5.74,5.76,3.54,2767,7
14,1.5,1,4,66.2,53.0,7.12,7.08,4.7,10644,4
15,0.31,5,4,61.6,55.0,4.37,4.39,2.7,544,4
16,0.34,5,3,61.2,57.0,4.56,4.53,2.78,650,4
17,1.01,5,4,59.8,56.0,6.52,6.49,3.89,7127,7
18,0.9,2,3,61.9,64.0,6.0,6.09,3.74,3567,7
19,0.54,4,4,60.0,59.0,5.42,5.22,3.19,1637,4
20,1.04,4,6,61.1,60.0,6.54,6.51,3.99,10984,7
21,0.4,5,4,62.9,57.0,4.72,4.69,2.96,1080,5
22,1.52,5,2,62.7,56.0,7.35,7.28,4.59,8631,7
23,1.19,5,2,61.7,56.0,6.8,6.85,4.21,4508,2
24,0.66,5,3,62.4,58.0,5.53,5.56,3.46,1609,3
25,1.5,4,2,61.4,62.0,7.4,7.25,4.49,7187,3
26,0.34,5,3,62.1,57.0,4.5,4.44,2.74,803,7
27,0.52,5,4,61.5,56.0,5.18,5.2,3.19,1576,6
28,0.31,5,3,61.9,56.0,4.38,4.35,2.7,595,3
29,0.71,2,2,64.0,58.0,5.65,5.59,3.6,1818,5
30,1.19,5,3,62.3,55.0,6.76,6.81,4.23,6335,4
31,0.72,3,6,63.0,59.0,5.7,5.72,3.6,2144,2
32,0.3,5,3,62.4,55.0,4.3,4.32,2.69,450,3
33,0.77,4,5,60.8,56.0,5.95,5.9,3.6,3260,6
34,0.35,3,5,59.9,56.0,4.61,4.64,2.77,846,7
35,1.21,4,6,61.7,60.0,6.82,6.85,4.22,5431,2
36,1.01,3,3,62.8,56.0,6.35,6.43,4.01,5049,4
37,0.51,4,3,61.3,58.0,5.16,5.11,3.15,1084,1
38,1.26,5,3,62.0,56.0,6.9,6.93,4.29,5301,2
39,1.55,2,4,61.0,61.0,7.42,7.47,4.54,11364,3
40,0.9,2,2,63.8,59.0,6.05,6.02,3.85,3246,4
41,1.58,4,2,62.3,60.0,7.42,7.38,4.61,9290,5
42,0.43,4,3,60.5,60.0,4.88,4.84,2.94,1016,5
43,0.3,5,7,61.7,54.0,4.32,4.34,2.67,764,4
44,2.0,2,3,63.9,57.0,8.01,7.91,5.09,12554,1
45,1.01,4,1,62.6,57.0,6.42,6.3,3.99,2257,5
